89	Pantelån	Økonomiske data	Gjeld (klasse 2, 21-29)	Beløp	
41	Omsetning; varegruppe	Økonomiske data	Salgsinntekter (klasse 3, 30-35)	Prosent	
90	Aksjer	Økonomiske data	Eiendeler (klasse 1)	Beløp	
43	Eksport; varer tjenester	Økonomiske data	Salgsinntekter (klasse 3, 30-35)	Beløp	
93	Sysselsatte; lønnstakere; timeverk	Sysselsetting, ikke-økonomiske data	Ansatte og andre sysselsatte	Antall	
200	Fordringer; konsern; langsiktig	Økonomiske data	Eiendeler (klasse 1)	Beløp	
290	Egenkapital; endring	Økonomiske data	Egenkapital (klasse 2, 20)	Beløp	
10	Bankinnskudd; Norges Bank	Økonomiske data	Eiendeler (klasse 1)	Beløp	
191	Fordringer; konsern; kortsiktig	Økonomiske data	Eiendeler (klasse 1)	Beløp	
105	Godtgjørelser; andre	Økonomiske data	Lønnskostnad (klasse 5)	Beløp	
77	Salgsinntekter; avgiftspliktig	Økonomiske data	Salgsinntekter (klasse 3, 30-35)	Beløp	
133	Bilkostnader	Økonomiske data	Andre driftskostnader (klasse 6-7, 61-79)	Beløp	
125	Frakt spedisjon; salg	Økonomiske data	Andre driftskostnader (klasse 6-7, 61-79)	Beløp	
434	Transportmidler; reparasjoner	Økonomiske data	Andre driftskostnader (klasse 6-7, 61-79)	Beløp	
162	Inntekter; andre; ekstraordinære	Økonomiske data	Ekstraordinære inntekter (klasse 8, 84)	Beløp	
302	Egenkapital; bundet; annen	Økonomiske data	Egenkapital (klasse 2, 20)	Beløp	
376	Skip; dødvekttonn	Driftsopplysninger, ikke-økonomiske data	Driftsmidler (lokaler, maskiner, redskap)	Mengde	
330	Skip; art	Driftsopplysninger, ikke-økonomiske data	Driftsmidler (lokaler, maskiner, redskap)	Type/art	
331	Skip; navn	Driftsopplysninger, ikke-økonomiske data	Driftsmidler (lokaler, maskiner, redskap)	Navn	
332	Skip; bruttotonn	Driftsopplysninger, ikke-økonomiske data	Driftsmidler (lokaler, maskiner, redskap)	Mengde	
337	Bedrift; eieform	Grunndata	Eierforhold	Type/art	
341	Salgsinntekter; annen industriell aktivitet	Økonomiske data	Salgsinntekter (klasse 3, 30-35)	Prosent	
342	Salgsinntekter; handelsvarer	Økonomiske data	Salgsinntekter (klasse 3, 30-35)	Prosent	
203	Fordringer; andre; langsiktig	Økonomiske data	Eiendeler (klasse 1)	Beløp	
208	Skip	Økonomiske data	Eiendeler (klasse 1)	Beløp	
209	Transportmidler	Økonomiske data	Eiendeler (klasse 1)	Beløp	
12	Lån; andre; kortsiktig	Økonomiske data	Gjeld (klasse 2, 21-29)	Beløp	
458	Produkt; spesifikasjon	Produksjonsopplysninger, ikke-økonomiske data	Produkt (varer og tjenester)	Type/art	
13	Bankinnskudd; utland	Økonomiske data	Eiendeler (klasse 1)	Beløp	
60	Tariffavtale	Sysselsetting, ikke-økonomiske data	Lønnsforhold	Strukturert informasjon	
193	Omløpsmidler; andre	Økonomiske data	Eiendeler (klasse 1)	Beløp	
216	Anleggsmidler; andre	Økonomiske data	Eiendeler (klasse 1)	Beløp	
222	Skattetrekk; skyldig	Økonomiske data	Gjeld (klasse 2, 21-29)	Beløp	
76	Driftskostnader; energi; type	Økonomiske data	Andre driftskostnader (klasse 6-7, 61-79)	Beløp	
95	Salgsinntekter; varer; egenprodusert	Økonomiske data	Salgsinntekter (klasse 3, 30-35)	Beløp	
96	Salgsinntekter; reparasjonsarbeid	Økonomiske data	Salgsinntekter (klasse 3, 30-35)	Beløp	
98	Salgsinntekter; leiearbeid	Økonomiske data	Salgsinntekter (klasse 3, 30-35)	Beløp	
78	Salgsinntekter; avgiftsfri	Økonomiske data	Salgsinntekter (klasse 3, 30-35)	Beløp	
7	Sertifikatlån; Norge	Økonomiske data	Gjeld (klasse 2, 21-29)	Beløp	
317	Driftskostnader; energi	Økonomiske data	Andre driftskostnader (klasse 6-7, 61-79)	Beløp	
39	Produkt; spesifikasjon	Produksjonsopplysninger, ikke-økonomiske data	Salg og eksport av produksjonsvarer og -tjenester	Type/art	
40	Produkt; pris	Økonomiske data	Salgsinntekter (klasse 3, 30-35)	Beløp	
327	Ute av drift; periode	Driftsopplysninger, ikke-økonomiske data	Tidsangivelser vedr. drift (perioder og datoer)	Periode	
137	Salg reklame representasjon	Økonomiske data	Andre driftskostnader (klasse 6-7, 61-79)	Beløp	
413	Reparasjoner	Økonomiske data	Andre driftskostnader (klasse 6-7, 61-79)	Beløp	
420	Grunn; reparasjon	Økonomiske data	Andre driftskostnader (klasse 6-7, 61-79)	Beløp	
425	Sysselsatte; funksjonærer	Sysselsetting, ikke-økonomiske data	Ansatte og andre sysselsatte	Antall	
426	Leiekostnader; bygg anlegg	Økonomiske data	Andre driftskostnader (klasse 6-7, 61-79)	Beløp	
428	Produksjonsinntekter	Økonomiske data	Andre økonomiske data	Beløp	
455	Omsetning; brutto	Økonomiske data	Salgsinntekter (klasse 3, 30-35)	Beløp	
